function_name,poly_size,time_seconds,k
toom3_k,8009,0.010555029,13
toom3_k,8009,0.011278868,17
toom3_k,8009,0.012125015,21
toom3_k,8009,0.010559082,25
toom3_k,8009,0.010575056,29
toom3_k,8009,0.014081955,33
toom3_k,8009,0.014811993,37
toom3_k,8009,0.013709068,41
toom3_k,8009,0.015803099,45
toom3_k,8009,0.015323162,49
toom3_k,8009,0.014816999,53
toom3_k,8009,0.016896009,57
toom3_k,8009,0.015274048,61
toom3_k,8009,0.014712095,65
toom3_k,8009,0.016137838,69
toom3_k,8009,0.014944077,73
toom3_k,8009,0.015498877,77
toom3_k,8009,0.016233921,81
toom3_k,8009,0.016301870,85
toom3_k,8009,0.016327143,89
toom3_k,8009,0.016834974,93
toom3_k,8009,0.016770840,97
toom3_k,8009,0.013118029,13
toom3_k,8009,0.015281916,17
toom3_k,8009,0.013751984,21
toom3_k,8009,0.013437986,25
toom3_k,8009,0.013696194,29
toom3_k,8009,0.018178940,33
toom3_k,8009,0.018909931,37
toom3_k,8009,0.018137932,41
toom3_k,8009,0.018707991,45
toom3_k,8009,0.019994974,49
toom3_k,8009,0.019453049,53
toom3_k,8009,0.019410133,57
toom3_k,8009,0.019682884,61
toom3_k,8009,0.021516085,65
toom3_k,8009,0.019958019,69
toom3_k,8009,0.021648884,73
toom3_k,8009,0.020803928,77
toom3_k,8009,0.020215034,81
toom3_k,8009,0.020025015,85
toom3_k,8009,0.020955801,89
toom3_k,8009,0.021355867,93
toom3_k,8009,0.020335913,97
toom3_k,8009,0.016730070,13
toom3_k,8009,0.015789986,17
toom3_k,8009,0.017311096,21
toom3_k,8009,0.016771793,25
toom3_k,8009,0.016928911,29
toom3_k,8009,0.022804022,33
toom3_k,8009,0.022493839,37
toom3_k,8009,0.022008896,41
toom3_k,8009,0.022439957,45
toom3_k,8009,0.023463011,49
toom3_k,8009,0.023509979,53
toom3_k,8009,0.022977114,57
toom3_k,8009,0.022680998,61
toom3_k,8009,0.022922039,65
toom3_k,8009,0.022974968,69
toom3_k,8009,0.023211002,73
toom3_k,8009,0.023313999,77
toom3_k,8009,0.022880077,81
toom3_k,8009,0.024407864,85
toom3_k,8009,0.023133993,89
toom3_k,8009,0.023464918,93
toom3_k,8009,0.022920132,97
toom3_k,8009,0.017640114,13
toom3_k,8009,0.017304897,17
toom3_k,8009,0.017274857,21
toom3_k,8009,0.017406940,25
toom3_k,8009,0.017549038,29
toom3_k,8009,0.025230885,33
toom3_k,8009,0.022846937,37
toom3_k,8009,0.024145126,41
toom3_k,8009,0.023648977,45
toom3_k,8009,0.026137114,49
toom3_k,8009,0.023999929,53
toom3_k,8009,0.026206017,57
toom3_k,8009,0.025393963,61
toom3_k,8009,0.026185989,65
toom3_k,8009,0.027700901,69
toom3_k,8009,0.025604963,73
toom3_k,8009,0.024979115,77
toom3_k,8009,0.024870157,81
toom3_k,8009,0.025190115,85
toom3_k,8009,0.025691032,89
toom3_k,8009,0.024932146,93
toom3_k,8009,0.025444984,97
toom3_k,8009,0.018914938,13
toom3_k,8009,0.019654036,17
toom3_k,8009,0.018657923,21
toom3_k,8009,0.020426035,25
toom3_k,8009,0.018891096,29
toom3_k,8009,0.025352001,33
toom3_k,8009,0.025185108,37
toom3_k,8009,0.026403189,41
toom3_k,8009,0.025039911,45
toom3_k,8009,0.025904179,49
toom3_k,8009,0.024260044,53
toom3_k,8009,0.023708105,57
toom3_k,8009,0.023743153,61
toom3_k,8009,0.023512125,65
toom3_k,8009,0.025369883,69
toom3_k,8009,0.023718119,73
toom3_k,8009,0.024029970,77
toom3_k,8009,0.024528027,81
toom3_k,8009,0.024749041,85
toom3_k,8009,0.023452997,89
toom3_k,8009,0.024945021,93
toom3_k,8009,0.023345947,97
toom3_k,8009,0.018537998,13
toom3_k,8009,0.018619061,17
toom3_k,8009,0.019267082,21
toom3_k,8009,0.018309116,25
toom3_k,8009,0.018706083,29
toom3_k,8009,0.023380041,33
toom3_k,8009,0.024316072,37
toom3_k,8009,0.023968935,41
toom3_k,8009,0.024836063,45
toom3_k,8009,0.023696899,49
toom3_k,8009,0.024974108,53
toom3_k,8009,0.023932934,57
toom3_k,8009,0.024552107,61
toom3_k,8009,0.024271011,65
toom3_k,8009,0.025296926,69
