function_name,poly_size,time_seconds
tom4,2048,0.002576113
tom4,2048,0.002584934
tom4,2048,0.002416134
tom4,2048,0.003162861
tom4,2048,0.003010035
tom4,2048,0.002748013
tom4,2048,0.002313852
tom4,2048,0.002243996
tom4,2048,0.002388000
tom4,2048,0.002582073
tom4,3072,0.005428076
tom4,3072,0.004076958
tom4,3072,0.004516840
tom4,3072,0.004342079
tom4,3072,0.003808975
tom4,3072,0.005344152
tom4,3072,0.004369974
tom4,3072,0.004296064
tom4,3072,0.004168987
tom4,3072,0.004554987
tom4,4096,0.006476879
tom4,4096,0.007103920
tom4,4096,0.006027937
tom4,4096,0.006307125
tom4,4096,0.006277084
tom4,4096,0.006165028
tom4,4096,0.005950928
tom4,4096,0.006306887
tom4,4096,0.006870031
tom4,4096,0.007385015
tom4,4448,0.006686926
tom4,4448,0.007188797
tom4,4448,0.008045912
tom4,4448,0.007462025
tom4,4448,0.006458044
tom4,4448,0.007436037
tom4,4448,0.006819963
tom4,4448,0.007033110
tom4,4448,0.006873131
tom4,4448,0.007503033
tom4,5120,0.009130955
tom4,5120,0.009473801
tom4,5120,0.007642031
tom4,5120,0.008964062
tom4,5120,0.008535147
tom4,5120,0.009160042
tom4,5120,0.008912086
tom4,5120,0.009079933
tom4,5120,0.008631945
tom4,5120,0.008950949
tom4,8192,0.017324924
tom4,8192,0.017767906
tom4,8192,0.017205000
tom4,8192,0.018150806
tom4,8192,0.017795086
tom4,8192,0.016417980
tom4,8192,0.016184807
tom4,8192,0.016516209
tom4,8192,0.016690969
tom4,8192,0.016345024
tom4,10240,0.023118019
tom4,10240,0.021966934
tom4,10240,0.022732973
tom4,10240,0.023595810
tom4,10240,0.022615910
tom4,10240,0.022895098
tom4,10240,0.024402857
tom4,10240,0.030318022
tom4,10240,0.023985863
tom4,10240,0.024971962
tom4,12800,0.036414862
tom4,12800,0.035835981
tom4,12800,0.036164045
tom4,12800,0.035804033
tom4,12800,0.037062883
tom4,12800,0.042114973
tom4,12800,0.041426897
tom4,12800,0.039173126
tom4,12800,0.038298845
tom4,12800,0.039846897
tom4,16384,0.059530973
tom4,16384,0.054697990
tom4,16384,0.055483103
tom4,16384,0.055392981
tom4,16384,0.056091070
tom4,16384,0.057529926
tom4,16384,0.058021069
tom4,16384,0.058590889
tom4,16384,0.055161953
tom4,16384,0.055464983
tom4,32768,0.154814005
tom4,32768,0.160302877
tom4,32768,0.153426886
tom4,32768,0.151531935
tom4,32768,0.147285938
tom4,32768,0.148736000
tom4,32768,0.147433043
tom4,32768,0.157016039
tom4,32768,0.150148153
tom4,32768,0.147572994
tom4,65536,0.403453827
tom4,65536,0.386399984
tom4,65536,0.380947113
tom4,65536,0.375951052
tom4,65536,0.472949982
tom4,65536,0.429064989
tom4,65536,0.378597975
tom4,65536,0.406980991
tom4,65536,0.402318954
tom4,65536,0.502377987
