k,function_name,mean_time_seconds
1,karatsuba_k,0.045053816000000003
2,karatsuba_k,0.0335326433
3,karatsuba_k,0.0416129351
4,karatsuba_k,0.056499671900000006
5,karatsuba_k,0.06876533030000001
6,karatsuba_k,0.0362252712
7,karatsuba_k,0.0395099639
8,karatsuba_k,0.029160237300000003
9,karatsuba_k,0.031420636200000004
10,karatsuba_k,0.027151394000000002
11,karatsuba_k,0.024813365900000002
12,karatsuba_k,0.0241024017
13,karatsuba_k,0.0315520048
14,karatsuba_k,0.028339958199999998
15,karatsuba_k,0.0366196394
16,karatsuba_k,0.0314790011
17,karatsuba_k,0.035382795300000006
18,karatsuba_k,0.034072804400000004
19,karatsuba_k,0.0348717213
20,karatsuba_k,0.05690259909999999
21,karatsuba_k,0.055056548000000004
22,karatsuba_k,0.053412151399999996
23,karatsuba_k,0.0600267172
24,karatsuba_k,0.053933406100000005
25,karatsuba_k,0.0375082971
26,karatsuba_k,0.0313269616
27,karatsuba_k,0.0335178375
28,karatsuba_k,0.0540474653
29,karatsuba_k,0.0368840695
30,karatsuba_k,0.030932998700000002
31,karatsuba_k,0.036080527200000004
32,karatsuba_k,0.0410908938
33,karatsuba_k,0.0297649383
34,karatsuba_k,0.029553485
35,karatsuba_k,0.0447392702
36,karatsuba_k,0.0399738311
37,karatsuba_k,0.0323767186
38,karatsuba_k,0.0238122462
39,karatsuba_k,0.0239266634
40,karatsuba_k,0.0316359996
41,karatsuba_k,0.0352112056
42,karatsuba_k,0.0328401565
43,karatsuba_k,0.0530123472
44,karatsuba_k,0.0411281825
45,karatsuba_k,0.045426798000000004
46,karatsuba_k,0.048622274300000004
47,karatsuba_k,0.037797093399999995
48,karatsuba_k,0.03839180490000001
49,karatsuba_k,0.0341129303
50,karatsuba_k,0.035494089
51,karatsuba_k,0.0338348865
52,karatsuba_k,0.027854204
53,karatsuba_k,0.031831788900000005
54,karatsuba_k,0.0418763875
55,karatsuba_k,0.0647447108
56,karatsuba_k,0.0618666647
57,karatsuba_k,0.0384522676
58,karatsuba_k,0.0274633647
59,karatsuba_k,0.026236534099999997
60,karatsuba_k,0.0319782017
61,karatsuba_k,0.0353476048
62,karatsuba_k,0.039528822799999995
63,karatsuba_k,0.040316987
64,karatsuba_k,0.0529758214
65,karatsuba_k,0.0521218301
66,karatsuba_k,0.0437951327
67,karatsuba_k,0.0367688419
68,karatsuba_k,0.0520439625
69,karatsuba_k,0.0704614163
70,karatsuba_k,0.0970530985
71,karatsuba_k,0.0969395161
72,karatsuba_k,0.060610961899999996
73,karatsuba_k,0.0456419944
74,karatsuba_k,0.053145480300000006
75,karatsuba_k,0.0430202009
76,karatsuba_k,0.055369829999999995
77,karatsuba_k,0.0456363677
78,karatsuba_k,0.0480955839
79,karatsuba_k,0.0414807081
80,karatsuba_k,0.034283089700000005
81,karatsuba_k,0.0294779301
82,karatsuba_k,0.0325513124
83,karatsuba_k,0.0298254252
84,karatsuba_k,0.029058599499999997
85,karatsuba_k,0.029062581100000002
86,karatsuba_k,0.036171531699999995
87,karatsuba_k,0.0334313869
88,karatsuba_k,0.0318523646
89,karatsuba_k,0.039659643300000005
90,karatsuba_k,0.050691175399999996
91,karatsuba_k,0.0436658144
92,karatsuba_k,0.038774705
93,karatsuba_k,0.0354475259
94,karatsuba_k,0.0537027598
95,karatsuba_k,0.0412251712
96,karatsuba_k,0.031334686300000004
97,karatsuba_k,0.0368633985
98,karatsuba_k,0.0437688352
99,karatsuba_k,0.036851382099999996
100,karatsuba_k,0.0366518737
