k,function_name,mean_time_seconds
13,toom3_k,0.04358548638
20,toom3_k,0.0432420731
27,toom3_k,0.044943785619999996
34,toom3_k,0.04486090186
41,toom3_k,0.04506838794
48,toom3_k,0.04490433416326531
55,toom3_k,0.04496663568
62,toom3_k,0.04810546371428571
69,toom3_k,0.047785158159999994
76,toom3_k,0.04781101232
83,toom3_k,0.047850603959183675
90,toom3_k,0.0479102563
97,toom3_k,0.04860935402040817
104,toom3_k,0.04851768972000001
111,toom3_k,0.0484540987
118,toom3_k,0.048214087479999994
125,toom3_k,0.048078055380000005
132,toom3_k,0.04814769272
139,toom3_k,0.048157496460000004
146,toom3_k,0.048398089420000005
153,toom3_k,0.04815994264
160,toom3_k,0.048483328820000005
167,toom3_k,0.0483779478
174,toom3_k,0.04846579551999999
181,toom3_k,0.048218770019999996
188,toom3_k,0.055633692760000006
195,toom3_k,0.055362000499999994
