k,function_name,mean_time_seconds
33,toom4_k,0.2682687408979592
43,toom4_k,0.26779034675510205
53,toom4_k,0.26787075516000003
63,toom4_k,0.2660360432857143
73,toom4_k,0.2659829976734694
83,toom4_k,0.26539363673469385
93,toom4_k,0.26628542922448983
103,toom4_k,0.26589082242
113,toom4_k,0.26665124886
123,toom4_k,0.26619853974
133,toom4_k,0.26656671522
143,toom4_k,0.2674100593877551
153,toom4_k,0.26730892126530614
163,toom4_k,0.26480489962500003
173,toom4_k,0.2659276845306122
183,toom4_k,0.26560539126530613
193,toom4_k,0.2666430084081633
203,toom4_k,0.2669802976122449
213,toom4_k,0.26615934376
223,toom4_k,0.26670966146
233,toom4_k,0.26768834592
243,toom4_k,0.26705966474
